Region,District,year,Count of Facility_no
Central,Dedza,year1,10
Central,Dedza,year2,16
Central,Dedza,year3,21
Central,Dedza,year4,6
Central,Dowa,year1,15
Central,Dowa,year2,18
Central,Dowa,year3,14
Central,Dowa,year4,9
Central,Kasungu,year1,13
Central,Kasungu,year2,25
Central,Kasungu,year3,11
Central,Kasungu,year4,19
Central,Lilongwe,year1,36
Central,Lilongwe,year2,30
Central,Lilongwe,year3,28
Central,Lilongwe,year4,19
Central,Mchinji,year1,12
Central,Mchinji,year2,12
Central,Mchinji,year3,13
Central,Mchinji,year4,12
Central,Nkhotakota,year1,3
Central,Nkhotakota,year2,6
Central,Nkhotakota,year3,5
Central,Nkhotakota,year4,8
Central,Ntcheu,year1,7
Central,Ntcheu,year2,9
Central,Ntcheu,year3,9
Central,Ntcheu,year4,5
Central,Ntchisi,year1,4
Central,Ntchisi,year2,4
Central,Ntchisi,year3,9
Central,Salima,year1,2
Central,Salima,year2,7
Central,Salima,year3,4
Central,Salima,year4,13
North,Chitipa,year1,2
North,Chitipa,year3,3
North,Chitipa,year4,8
North,Karonga,year1,5
North,Karonga,year2,4
North,Karonga,year3,3
North,Karonga,year4,4
North,Mzimba,year1,16
North,Mzimba,year2,21
North,Mzimba,year3,24
North,Mzimba,year4,17
North,Nkhata Bay,year1,4
North,Nkhata Bay,year2,4
North,Nkhata Bay,year3,6
North,Nkhata Bay,year4,9
North,Rumphi,year3,2
North,Rumphi,year4,3
South,Balaka,year1,7
South,Balaka,year2,8
South,Balaka,year3,5
South,Balaka,year4,6
South,Blantyre,year1,2
South,Blantyre,year2,10
South,Blantyre,year3,2
South,Blantyre,year4,16
South,Chikwawa,year1,4
South,Chikwawa,year2,3
South,Chikwawa,year3,6
South,Chikwawa,year4,7
South,Chiradzulu,year3,3
South,Chiradzulu,year4,6
South,Machinga,year1,9
South,Machinga,year2,6
South,Machinga,year3,13
South,Machinga,year4,5
South,Mangochi,year1,20
South,Mangochi,year2,18
South,Mangochi,year3,13
South,Mangochi,year4,22
South,Mulanje,year1,2
South,Mulanje,year2,5
South,Mulanje,year3,9
South,Mulanje,year4,10
South,Mwanza,year1,1
South,Mwanza,year2,1
South,Mwanza,year3,4
South,Mwanza,year4,2
South,Neno,year3,4
South,Neno,year4,3
South,Nsanje,year1,2
South,Nsanje,year3,2
South,Nsanje,year4,3
South,Phalombe,year1,6
South,Phalombe,year2,5
South,Phalombe,year3,10
South,Phalombe,year4,4
South,Thyolo,year1,6
South,Thyolo,year2,9
South,Thyolo,year3,4
South,Thyolo,year4,10
South,Zomba,year1,10
South,Zomba,year2,13
South,Zomba,year3,7
South,Zomba,year4,8
