Region,District,TA_NAMES,year,Count of Facility_no
Central,Dedza,SC Chilikumwendo,year2,2
Central,Dedza,SC Chilikumwendo,year3,4
Central,Dedza,SC Kamenya Gwaza,year3,2
Central,Dedza,TA Kachindamoto,year1,2
Central,Dedza,TA Kachindamoto,year2,2
Central,Dedza,TA Kachindamoto,year3,4
Central,Dedza,TA Kaphuka,year1,1
Central,Dedza,TA Kaphuka,year2,3
Central,Dedza,TA Kaphuka,year3,5
Central,Dedza,TA Kaphuka,year4,2
Central,Dedza,TA Kasumbu,year1,1
Central,Dedza,TA Kasumbu,year2,5
Central,Dedza,TA Kasumbu,year3,3
Central,Dedza,TA Pemba,year1,3
Central,Dedza,TA Pemba,year2,4
Central,Dedza,TA Pemba,year3,3
Central,Dedza,TA Pemba,year4,2
Central,Dedza,TA Tambala,year1,3
Central,Dedza,TA Tambala,year4,2
Central,Dowa,SC Chakhaza,year1,2
Central,Dowa,SC Chakhaza,year2,1
Central,Dowa,SC Chakhaza,year3,6
Central,Dowa,SC Chakhaza,year4,2
Central,Dowa,SC Kayembe,year1,1
Central,Dowa,SC Kayembe,year2,5
Central,Dowa,SC Kayembe,year3,2
Central,Dowa,SC Mkukula,year1,1
Central,Dowa,SC Mkukula,year2,1
Central,Dowa,SC Mkukula,year3,1
Central,Dowa,SC Mkukula,year4,3
Central,Dowa,SC Mponela,year1,1
Central,Dowa,SC Mponela,year2,1
Central,Dowa,SC Mponela,year4,2
Central,Dowa,TA Chiwere,year1,4
Central,Dowa,TA Chiwere,year2,3
Central,Dowa,TA Chiwere,year3,2
Central,Dowa,TA Dzoole,year1,3
Central,Dowa,TA Dzoole,year2,3
Central,Dowa,TA Dzoole,year3,3
Central,Dowa,TA Dzoole,year4,1
Central,Dowa,TA Msakambewa,year1,3
Central,Dowa,TA Msakambewa,year2,4
Central,Dowa,TA Msakambewa,year4,1
Central,Kasungu,SC Chilowamatambe,year1,1
Central,Kasungu,SC Chilowamatambe,year2,3
Central,Kasungu,SC Chilowamatambe,year4,1
Central,Kasungu,SC Kawamba,year2,3
Central,Kasungu,SC Kawamba,year3,2
Central,Kasungu,SC Kawamba,year4,1
Central,Kasungu,SC Lukwa,year2,3
Central,Kasungu,SC Lukwa,year4,2
Central,Kasungu,SC M'nyanja,year3,1
Central,Kasungu,SC M'nyanja,year4,2
Central,Kasungu,SC Njombwa,year1,1
Central,Kasungu,SC Njombwa,year4,1
Central,Kasungu,SC Simlemba,year2,1
Central,Kasungu,SC Simlemba,year3,1
Central,Kasungu,SC Simlemba,year4,1
Central,Kasungu,TA Chulu,year1,3
Central,Kasungu,TA Chulu,year2,3
Central,Kasungu,TA Chulu,year4,2
Central,Kasungu,TA Kaluluma,year1,3
Central,Kasungu,TA Kaluluma,year3,3
Central,Kasungu,TA Kaomba,year1,1
Central,Kasungu,TA Kaomba,year3,1
Central,Kasungu,TA Kaomba,year4,2
Central,Kasungu,TA Kapelula,year2,2
Central,Kasungu,TA Kapelula,year4,1
Central,Kasungu,TA Mwase,year4,2
Central,Kasungu,TA Santhe,year1,2
Central,Kasungu,TA Santhe,year2,5
Central,Kasungu,TA Santhe,year3,2
Central,Kasungu,TA Santhe,year4,2
Central,Kasungu,TA Wimbe,year1,2
Central,Kasungu,TA Wimbe,year2,5
Central,Kasungu,TA Wimbe,year3,1
Central,Kasungu,TA Wimbe,year4,2
Central,Lilongwe,Lilongwe City,year1,6
Central,Lilongwe,Lilongwe City,year2,1
Central,Lilongwe,Lilongwe City,year3,1
Central,Lilongwe,Lilongwe City,year4,3
Central,Lilongwe,SC Chitekwele,year2,3
Central,Lilongwe,SC Chitekwele,year3,1
Central,Lilongwe,SC Mtema,year3,1
Central,Lilongwe,SC Mtema,year4,1
Central,Lilongwe,TA Chadza,year1,2
Central,Lilongwe,TA Chadza,year2,1
Central,Lilongwe,TA Chadza,year3,3
Central,Lilongwe,TA Chadza,year4,2
Central,Lilongwe,TA Chimutu,year1,5
Central,Lilongwe,TA Chimutu,year2,3
Central,Lilongwe,TA Chimutu,year3,1
Central,Lilongwe,TA Chimutu,year4,2
Central,Lilongwe,TA Chiseka,year1,6
